name,val,lat,lon
南京 ,4.23,32.04,118.78
徐州 ,4.13,34.26,117.2
睢宁 ,4.13,33.89,117.94
沛县 ,4.1,34.73,116.93
丰县 ,4.1,34.79,116.57
邳县 ,4.1,34.3,117.97
铜山 ,4.1,34.26,117.2
新沂 ,4.1,34.38,118.33
淮安 ,4.2,33.5,119.15
楚州,4.2,33.5,119.13
淮阴 ,4.1,33.62,119.02
涟水 ,4.1,33.77,119.26
新兴,4.05,33.46,120.09
步凤,4.05,33.34,120.32
盐城 ,4.1,33.38,120.13
阜宁 ,4.05,33.78,119.79
滨海 ,4.05,34.01,119.84
东台 ,4.05,32.84,120.31
盐都 ,4.05,33.33,120.15
建湖 ,4.05,33.46,119.77
射阳 ,4.1,33.77,120.26
大丰 ,4.1,33.19,120.45
宿迁 ,4.17,33.96,118.3
泗洪 ,4.17,33.46,118.23
沭阳 ,4.1,34.12,118.79
宿城,4.1,33.97,118.25
宿豫,4.1,33.95,118.32
泗洪 ,4.1,33.46,118.23
泰州 ,4.2,32.49,119.9
扬州 ,4.37,32.39,119.42
南通 ,4.15,32.01,120.86
如皋 ,4.15,32.39,120.56
海门 ,4.15,31.89,121.15
启东 ,4.15,31.8,121.66
海安 ,4.2,32.57,120.45
通州,4.23,32.08,121.07
连云港 ,4.1,34.59,119.16
灌云 ,4.1,34.3,119.23
东海 ,4.1,34.54,118.75
赣榆 ,4.1,34.83,119.11
灌南 ,4.1,34.09,119.36
镇江 ,4.4,32.2,119.44
无锡 ,4.29,31.59,120.29
苏州 ,4.29,31.32,120.62
常州 ,4.29,31.79,119.95
昆山 ,4.29,31.39,120.95
